State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,ST,Workers,Male_Workers,Female_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Households_with_Television,Ownership_Owned_Households,Ownership_Rented_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Location_of_drinking_water_source_Away_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,Married_couples_None_Households,Total_Power_Parity
Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570,1137961,566622,571339,818345,438257,380088,253651,44970,565774,357889,207885,1004553,101235,26000,182,109,4710,238505,4510,18727,311660,80766,392426,114570,257550,160083,177585,96470,72420,12631,891309,204371,1095680,564994,341380,230864,169969,216586,41283,11977,28314,40291,48104,182344,84585,49655,42270,7268,35942,194153,33374,4902,5721,668,151,38925,1996
Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566,1659456,840843,818613,1087392,607188,480204,389117,302554,856587,513311,343276,1520553,128751,3175,322,84,3778,307257,5711,28897,349704,97644,447348,188329,332648,196470,217567,132435,75262,22078,1164789,452975,1617764,891230,460057,306412,174344,298987,46758,11497,29092,40589,48344,213641,91516,73781,81805,18108,76978,243077,54314,10778,12905,1748,379,43847,2374
Karnataka,Davanagere,14.330414586709884,75.91723841166937,567,1945497,986400,959097,1308540,720637,587903,392595,233112,875207,585639,289568,1658465,265805,5420,307,164,6417,372671,7320,39416,354680,176011,530691,242130,446793,206686,269748,154781,123863,32375,1476376,467414,1943790,1068518,538551,336173,256051,320621,73448,10904,31291,42195,54589,249307,109193,85525,89741,23597,74855,285888,54132,12634,15775,2466,675,49045,3062
Karnataka,Dharwad,15.343831376975173,75.13831264108359,562,1847023,937206,909817,1301664,711776,589888,177855,87548,784833,543776,241057,1390020,386834,28747,1486,715,29037,347962,15013,49585,199707,283397,483104,252596,383041,185530,227113,143453,137768,34302,1363803,428556,1792359,1017935,505688,322577,233604,275419,87134,12363,32050,44413,52869,223035,92142,78024,79875,24731,52813,259494,45952,13714,17758,3053,991,48850,3519
Karnataka,Gadag,15.507128256880746,75.64861302752298,561,1064570,537147,527423,700177,397178,302999,174196,61654,495722,310412,185310,907750,143665,3432,231,79,5993,198064,3373,15625,180066,111906,291972,121615,244640,112703,105150,63816,42053,12822,702799,306138,1008937,601578,279069,183409,104708,175742,32788,8697,18430,27127,27970,121985,48139,45876,51064,15426,54924,146711,28500,8075,10233,1670,488,30158,1699
Karnataka,Gulbarga,17.070459515951594,76.87503850385033,579,2566326,1301755,1264571,1427368,828359,599009,648782,65259,1087028,680001,407027,2011014,513125,8344,826,9589,4865,404767,9752,52483,400704,199303,600007,177860,579057,270622,290570,153746,104256,20492,1596603,883704,2480307,1570719,604665,388935,222126,378218,79335,13541,31790,45331,43936,217746,77749,96061,158370,43798,144128,321938,72477,19470,25287,4454,1363,45543,5378
Karnataka,Hassan,12.945098749999998,76.11049549999997,574,1776421,883667,892754,1225256,668836,556420,345031,32329,903580,560452,343128,1630814,120011,15611,289,623,5820,400702,4851,23444,496103,132878,628981,182255,354480,232531,292369,147837,103152,27774,1340398,401227,1741625,877340,522039,375918,272295,363138,57085,19258,43577,62835,74226,290412,139331,76855,67234,8811,64031,311242,54910,7365,8430,897,168,54710,2743
Karnataka,Haveri,14.737582809224318,75.3961230607966,564,1597668,819128,778540,1085443,603793,481650,219976,141380,730066,490731,239335,1281878,297927,2406,419,68,9834,295937,2456,17819,315076,98488,413564,240925,430529,201965,158442,84357,55310,16830,1188358,383494,1571852,904453,426094,266586,155076,280133,37221,10102,25544,35646,42726,195266,80865,71675,75502,19042,69107,229883,42560,10776,13722,2281,665,39291,2240
Karnataka,Kodagu,12.39684468085106,75.79336595744688,576,554519,274608,279911,412877,215302,197575,73584,58054,278938,172100,106838,448986,87274,17130,139,126,250,113931,3308,10758,181182,31792,212974,51287,111562,75291,86232,54939,43225,8251,430787,91352,522139,276918,163360,113919,83016,93366,22511,8568,19579,28147,25415,89880,40686,23779,17490,2786,17785,100643,12563,1703,1952,214,35,23145,942
Karnataka,Kolar,13.312799881235172,78.01376947743476,581,1536401,776396,760005,1016219,564110,452109,465867,78875,717872,454048,263824,1305431,199873,26722,253,150,2494,309494,5051,27235,326567,151042,477609,138015,289841,228422,225498,107929,71422,17961,1079088,399089,1478177,841499,419380,274240,209698,261316,60630,12543,29989,42532,46381,200532,88678,65473,72881,15045,101786,232108,44931,8177,10062,1472,413,43889,3389
